inst#,actual,predicted,error
1,0,0.495,0.495
2,0,0.265,0.265
3,0,0.007,0.007
4,0,-0.006,-0.006
5,0,0.124,0.124
6,0,0.197,0.197
7,0,-0.191,-0.191
8,0,1.221,1.221
9,0,2.034,2.034
10,0,0.877,0.877
11,0,-0.07,-0.07
12,0,0.272,0.272
13,0,0.023,0.023
14,0,-0.369,-0.369
15,0,-0.442,-0.442
16,0,1.615,1.615
17,0,-0.313,-0.313
18,0,0.006,0.006
19,0,0.762,0.762
20,0,0.023,0.023
21,0,1.608,1.608
22,0,-0.029,-0.029
23,0,-0.423,-0.423
24,0,0.457,0.457
25,0,0.933,0.933
26,0,-0.156,-0.156
27,0,1.669,1.669
28,0,0.415,0.415
29,0,0.035,0.035
30,0,1.389,1.389
31,0,-0.029,-0.029
32,0,-0.256,-0.256
33,0,0.041,0.041
34,0,3.753,3.753
35,0,1.389,1.389
36,0,-0.312,-0.312
37,0,-0.204,-0.204
38,0,0.468,0.468
39,0,2.84,2.84
40,0,1.773,1.773
41,0,0.645,0.645
42,0,1.512,1.512
43,0,0.672,0.672
44,0,1.413,1.413
45,0,0.494,0.494
46,0,0.297,0.297
47,0,-0.28,-0.28
48,0,0.982,0.982
49,1,1.682,0.682
50,1,0.308,-0.692
51,1,-0.126,-1.126
52,1,1.483,0.483
53,1,-0.16,-1.16
54,1,1.018,0.018
55,1,1.146,0.146
56,1,-0.215,-1.215
57,1,-0.204,-1.204
58,1,0.115,-0.885
59,1,-0.324,-1.324
60,1,0.361,-0.639
61,1,-0.324,-1.324
62,1,-0.315,-1.315
63,1,-0.288,-1.288
64,1,1.386,0.386
65,1,-0.047,-1.047
66,1,2.724,1.724
67,2,1.283,-0.717
68,2,1,-1
69,2,3.449,1.449
70,2,6.701,4.701
71,2,0.219,-1.781
72,2,1.451,-0.549
73,3,1.277,-1.723
74,3,-0.264,-3.264
75,3,-0.288,-3.288
76,4,3.128,-0.872
77,4,2.185,-1.815
78,4,2.848,-1.152
79,4,2.532,-1.468
80,5,1.356,-3.644
81,5,7.705,2.705
82,5,3.246,-1.754
83,6,1.601,-4.399
84,6,10.192,4.192
85,7,6.148,-0.852
86,8,12.244,4.244
87,9,3.225,-5.775
88,10,3.882,-6.118
89,12,6.087,-5.913
90,12,11.581,-0.419
91,15,3.096,-11.904
92,19,10.011,-8.989
93,25,11.688,-13.312
94,42,17.702,-24.298
