inst#,actual,predicted,error
1,0,1.381,1.381
2,0,1.381,1.381
3,0,1.381,1.381
4,0,1.381,1.381
5,0,1.381,1.381
6,0,1.381,1.381
7,0,1.381,1.381
8,0,1.381,1.381
9,0,1.381,1.381
10,0,1.381,1.381
11,0,1.381,1.381
12,0,1.381,1.381
13,0,1.381,1.381
14,0,1.381,1.381
15,0,1.381,1.381
16,0,1.381,1.381
17,0,1.381,1.381
18,0,1.381,1.381
19,0,1.381,1.381
20,0,1.381,1.381
21,0,1.381,1.381
22,0,1.381,1.381
23,0,1.381,1.381
24,0,1.381,1.381
25,0,1.381,1.381
26,0,1.381,1.381
27,0,1.381,1.381
28,0,1.381,1.381
29,0,1.381,1.381
30,0,1.381,1.381
31,0,1.381,1.381
32,0,1.381,1.381
33,0,1.381,1.381
34,0,1.381,1.381
35,0,1.381,1.381
36,0,1.381,1.381
37,0,1.381,1.381
38,0,1.381,1.381
39,0,1.381,1.381
40,0,1.381,1.381
41,0,1.381,1.381
42,0,1.381,1.381
43,0,1.381,1.381
44,0,1.381,1.381
45,0,1.381,1.381
46,0,1.381,1.381
47,0,1.381,1.381
48,0,1.381,1.381
49,1,1.381,0.381
50,1,1.381,0.381
51,1,1.381,0.381
52,1,1.381,0.381
53,1,1.381,0.381
54,1,1.381,0.381
55,1,1.381,0.381
56,1,1.381,0.381
57,1,1.381,0.381
58,1,1.381,0.381
59,1,1.381,0.381
60,1,1.381,0.381
61,1,1.381,0.381
62,1,1.381,0.381
63,1,1.381,0.381
64,1,1.381,0.381
65,1,1.381,0.381
66,1,1.381,0.381
67,2,1.381,-0.619
68,2,1.381,-0.619
69,2,1.381,-0.619
70,2,1.381,-0.619
71,2,1.381,-0.619
72,2,1.381,-0.619
73,3,1.381,-1.619
74,3,1.381,-1.619
75,3,1.381,-1.619
76,4,1.381,-2.619
77,4,1.381,-2.619
78,4,1.381,-2.619
79,4,1.381,-2.619
80,5,1.381,-3.619
81,5,15.333,10.333
82,5,1.381,-3.619
83,6,1.381,-4.619
84,6,1.381,-4.619
85,7,1.381,-5.619
86,8,15.333,7.333
87,9,1.381,-7.619
88,10,1.381,-8.619
89,12,1.381,-10.619
90,12,15.333,3.333
91,15,1.381,-13.619
92,19,15.333,-3.667
93,25,15.333,-9.667
94,42,15.333,-26.667
