inst#,actual,predicted,error
1,0,0.402,0.402
2,0,0.254,0.254
3,0,0.048,0.048
4,0,-0.024,-0.024
5,0,0.098,0.098
6,0,0.175,0.175
7,0,-0.169,-0.169
8,0,1.132,1.132
9,0,2.252,2.252
10,0,0.896,0.896
11,0,-0.028,-0.028
12,0,0.293,0.293
13,0,0.008,0.008
14,0,-0.389,-0.389
15,0,-0.409,-0.409
16,0,1.635,1.635
17,0,-0.315,-0.315
18,0,0.031,0.031
19,0,0.778,0.778
20,0,0.008,0.008
21,0,1.645,1.645
22,0,-0.026,-0.026
23,0,-0.374,-0.374
24,0,0.388,0.388
25,0,0.952,0.952
26,0,-0.145,-0.145
27,0,1.699,1.699
28,0,0.442,0.442
29,0,0.029,0.029
30,0,1.413,1.413
31,0,-0.038,-0.038
32,0,-0.31,-0.31
33,0,0.024,0.024
34,0,3.825,3.825
35,0,1.388,1.388
36,0,-0.313,-0.313
37,0,-0.215,-0.215
38,0,0.495,0.495
39,0,2.915,2.915
40,0,1.802,1.802
41,0,0.688,0.688
42,0,1.546,1.546
43,0,0.733,0.733
44,0,1.537,1.537
45,0,0.454,0.454
46,0,0.187,0.187
47,0,-0.273,-0.273
48,0,1.004,1.004
49,1,1.692,0.692
50,1,0.264,-0.736
51,1,-0.135,-1.135
52,1,1.42,0.42
53,1,-0.162,-1.162
54,1,0.962,-0.038
55,1,1.21,0.21
56,1,-0.206,-1.206
57,1,-0.19,-1.19
58,1,0.133,-0.867
59,1,-0.339,-1.339
60,1,0.376,-0.624
61,1,-0.325,-1.325
62,1,-0.315,-1.315
63,1,-0.317,-1.317
64,1,1.414,0.414
65,1,0.052,-0.948
66,1,2.677,1.677
67,2,1.367,-0.633
68,2,1.036,-0.964
69,2,3.323,1.323
70,2,6.774,4.774
71,2,0.069,-1.931
72,2,1.396,-0.604
73,3,1.266,-1.734
74,3,-0.209,-3.209
75,3,-0.3,-3.3
76,4,3.167,-0.833
77,4,2.135,-1.865
78,4,2.979,-1.021
79,4,2.569,-1.431
80,5,1.41,-3.59
81,5,8.516,3.516
82,5,3.23,-1.77
83,6,1.601,-4.399
84,6,10.409,4.409
85,7,6.088,-0.912
86,8,12.056,4.056
87,9,3.203,-5.797
88,10,3.904,-6.096
89,12,6.32,-5.68
90,12,11.605,-0.395
91,15,3.174,-11.826
92,19,9.842,-9.158
93,25,11.94,-13.06
94,42,18.308,-23.692
