Site Id,OPC Tag,Turbine Id,Tag,Available Minutes,Averages,Max samples,Min Samples,Standra Deviation,Consistency (Minutes per 48 Hrs),Resolution (Average samples per minute),Resolution Error (RSD),Resolution with Error,Resolution With Consistency Confidence
WAD1,WAD1-ALT1.OpCtl_Pitch3Min,ALT1,OpCtl_Pitch3Min,12,31,48,1,11.2620306,24%,52%,36%,34%,8%
WAD1,WAD1-ALT1.DynCtl_ALC_Qmm,ALT1,DynCtl_ALC_Qmm,49,46.6122449,48,31,2.678838665,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.AI_In_GridMonVoltageL2Act,ALT1,AI_In_GridMonVoltageL2Act,49,46.53061224,48,31,2.778209971,100%,78%,6%,75%,75%
WAD1,WAD1-ALT1.Curt_WFMSLossP,ALT1,Curt_WFMSLossP,1,1,1,1,0,2%,2%,0%,2%,0%
WAD1,WAD1-ALT1.B_WFMS_ActPwrDemVal,ALT1,B_WFMS_ActPwrDemVal,4,6.25,21,1,8.525696452,8%,10%,136%,-58%,-5%
WAD1,WAD1-ALT1.AI_In_TbRotorSpdImpulse,ALT1,AI_In_TbRotorSpdImpulse,49,37.95918367,48,2,16.25807075,100%,63%,43%,42%,42%
WAD1,WAD1-ALT1.AI_In_TbGbxBearingFastShaftA,ALT1,AI_In_TbGbxBearingFastShaftA,49,44.63265306,48,30,2.89047611,100%,74%,6%,71%,71%
WAD1,WAD1-ALT1.AI_In_TbGenBearingTempNds,ALT1,AI_In_TbGenBearingTempNds,49,45.42857143,48,32,2.490799396,100%,76%,5%,73%,73%
WAD1,WAD1-ALT1.AI_In_CCU_Diag10,ALT1,AI_In_CCU_Diag10,49,46.18367347,48,26,3.783279375,100%,77%,8%,73%,73%
WAD1,WAD1-ALT1.AI_In_CCU_Diag11,ALT1,AI_In_CCU_Diag11,49,46.57142857,48,33,2.398979375,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CuGenSpeedAct,ALT1,AI_In_CuGenSpeedAct,49,46.69387755,48,32,2.3921989,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.DO_Pitch_Axis3BrakeOn,ALT1,DO_Pitch_Axis3BrakeOn,8,2.625,5,1,1.576190027,16%,4%,60%,-26%,-4%
WAD1,WAD1-ALT1.DynCtl_BladeAngleSetpt,ALT1,DynCtl_BladeAngleSetpt,33,29.45454545,48,1,12.81356031,67%,49%,44%,27%,18%
WAD1,WAD1-ALT1.AI_In_MotorCurrentA3,ALT1,AI_In_MotorCurrentA3,49,36.06122449,48,16,11.07195052,100%,60%,31%,45%,45%
WAD1,WAD1-ALT1.AI_In_MotorCurrentA2,ALT1,AI_In_MotorCurrentA2,49,36.81632653,48,19,10.56307289,100%,61%,29%,47%,47%
WAD1,WAD1-ALT1.AI_In_MotorCurrentA1,ALT1,AI_In_MotorCurrentA1,49,34.87755102,48,13,12.43535554,100%,58%,36%,40%,40%
WAD1,WAD1-ALT1.AI_In_Axis2BatVoltC5,ALT1,AI_In_Axis2BatVoltC5,6,2.5,5,1,1.38443731,12%,4%,55%,-24%,-3%
WAD1,WAD1-ALT1.AI_In_Axis2BatVoltC6,ALT1,AI_In_Axis2BatVoltC6,5,2.6,4,1,1.019803903,10%,4%,39%,-15%,-2%
WAD1,WAD1-ALT1.AI_In_Axis2BatVoltC3,ALT1,AI_In_Axis2BatVoltC3,9,2.555555556,5,1,1.257078722,18%,4%,49%,-20%,-4%
WAD1,WAD1-ALT1.AI_In_Axis2BatVoltC4,ALT1,AI_In_Axis2BatVoltC4,4,2.5,4,1,1.118033989,8%,4%,45%,-18%,-1%
WAD1,WAD1-ALT1.AI_In_Axis2BatVoltC1,ALT1,AI_In_Axis2BatVoltC1,8,1.875,5,1,1.363589014,16%,3%,73%,-33%,-5%
WAD1,WAD1-ALT1.AI_In_Axis2BatVoltC2,ALT1,AI_In_Axis2BatVoltC2,7,2.714285714,5,1,1.160576915,14%,5%,43%,-17%,-2%
WAD1,WAD1-ALT1.AI_In_CCU_Diag9,ALT1,AI_In_CCU_Diag9,49,46.59183673,48,32,2.522699941,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CCU_Diag2,ALT1,AI_In_CCU_Diag2,49,46.71428571,48,32,2.415933504,100%,78%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CCU_Diag1,ALT1,AI_In_CCU_Diag1,49,39.89795918,48,7,14.0774025,100%,66%,35%,49%,49%
WAD1,WAD1-ALT1.AI_In_CCU_Diag7,ALT1,AI_In_CCU_Diag7,49,46.42857143,48,31,2.507132682,100%,77%,5%,75%,75%
WAD1,WAD1-ALT1.AI_In_CCU_Diag6,ALT1,AI_In_CCU_Diag6,41,45.56097561,48,4,7.119361373,84%,76%,16%,68%,57%
WAD1,WAD1-ALT1.AI_In_CCU_Diag4,ALT1,AI_In_CCU_Diag4,49,39.34693878,48,3,15.45309033,100%,66%,39%,46%,46%
WAD1,WAD1-ALT1.Cu_TorqueSpecialAct,ALT1,Cu_TorqueSpecialAct,36,46.55555556,48,33,2.650413432,73%,78%,6%,75%,55%
WAD1,WAD1-ALT1.Exchange.1.Header.ReqID,ALT1,Exchange,49,46.73469388,48,33,2.422475629,100%,78%,5%,75%,75%
